x,y
935632.5658,1915930.155
935633.6699,1915931.822
935634.6973,1915933.538
935635.6912,1915935.274
935636.6474,1915937.03
935637.5938,1915938.792
935638.5217,1915940.564
935639.4479,1915942.336
935640.377,1915944.107
935641.3178,1915945.872
935642.2616,1915947.636
935643.1976,1915949.403
935644.1303,1915951.172
935645.074,1915952.935
935646.0449,1915954.64
935647.0239,1915956.384
935647.9415,1915958.16
935648.6214,1915960.038
935648.9494,1915962.008
935648.8305,1915964
935648.2846,1915965.919
935647.3353,1915967.674
935646.0312,1915969.184
935644.4671,1915970.427
935642.7818,1915971.503
935641.0687,1915972.535
935639.3437,1915973.547
935637.6022,1915974.531
935635.8485,1915975.492
935634.0907,1915976.446
935632.3321,1915977.399
935630.576,1915978.356
935628.8173,1915979.308
935627.0585,1915980.26
935626.3903,1915980.641
