LINK_ID,LINK_ID_string,intersection_id,signal_group_id
14,A2209W000015,301,60
21,A2209W000022,301,60
115,A2209W000127,0,60
119,A2209W000131,301,60
128,A2209W000140,512,60
131,A2209W000143,80,60
139,A2209W000151,512,60
141,A2209W000155,511,60
245,A2209W000260,0,60
246,A2209W000261,0,60
247,A2209W000262,0,60
248,A2209W000263,301,60
249,A2209W000264,301,60
250,A2209W000265,301,60
251,A2209W000266,301,60
261,A2209W000276,301,60
267,A2209W000282,301,50
280,A2209W000295,80,60
281,A2209W000296,0,60
282,A2209W000297,0,60
283,A2209W000298,0,60
286,A2209W000301,80,60
287,A2209W000302,80,60
288,A2209W000303,80,60
300,A2209W000315,80,60
310,A2209W000325,80,50
324,A2209W000339,0,60
325,A2209W000340,0,60
326,A2209W000341,0,60
330,A2209W000345,512,60
331,A2209W000346,512,60
332,A2209W000347,512,60
337,A2209W000352,512,60
347,A2209W000362,512,50
351,A2209W000367,291,60
352,A2209W000368,291,60
355,A2209W000384,291,60
356,A2209W000385,291,60
358,A2209W000388,291,50
366,A2209W000404,511,60
367,A2209W000405,511,60
368,A2209W000406,511,60
376,A2209W000414,511,60
377,A2209W000415,511,60
381,A2209W000419,511,50
396,A2209W000440,0,60
397,A2209W000441,0,60
398,A2209W000442,0,60
399,A2209W000443,135,60
400,A2209W000444,135,60
401,A2209W000445,135,60
408,A2209W000452,135,60
409,A2209W000453,135,60
410,A2209W000454,135,60
413,A2209W000457,135,70
418,A2209W000462,135,50
440,A2209W000484,512,70
447,A2209W000502,0,60
448,A2209W000503,0,60
449,A2209W000504,0,60
451,A2209W000506,0,60
452,A2209W000507,0,60
639,A2209W000974,0,60
774,A2209W001201,134,50
775,A2209W001202,134,50
784,A2209W001211,134,60
788,A2209W001215,134,60
816,A2209W001243,136,50
817,A2209W001244,136,50
818,A2209W001245,136,50
828,A2209W001255,0,50
829,A2209W001256,0,50
830,A2209W001257,0,50
833,A2209W001262,136,50
834,A2209W001263,136,50
835,A2209W001264,136,50
842,A2209W001271,136,60
850,A2209W001279,510,50
852,A2209W001281,136,60
857,A2209W001286,136,80
860,A2209W001289,0,50
861,A2209W001290,0,50
862,A2209W001291,0,50
1141,A2209W001760,510,50
1142,A2209W001761,510,50
1301,A2209W002022,510,50
1302,A2209W002023,510,50
1303,A2209W002024,510,50
